Artist,Title,Year,URL
AnnenMayKantereit,Tommi,2019,https://www.youtube.com/watch?v=LTasjXFzMcA
BAP,Aff Un Zo,2001,https://youtu.be/hLioJRnD1E0?si=UJXcqf9hTF1eGYpj
BAP,Bahnhofskino,1984,https://youtu.be/ILcPv4aOmFg?si=R9Z6SSENIKIRFreT
BAP, Chlodwigplatz,2011,https://youtu.be/ZuZd1SraWrw?si=UAsm3lHOqFvoI31I
BAP,"Et ess,wie't ess",2008,https://youtu.be/JgndHDWjctw?si=5YMCoSxeKI1zgi4Y
BAP,Et letzte Leed,1983,https://youtu.be/geYFObld6KQ?si=DjW-y7dCRqqiDfp4
BAP,Et Neuste Testament,1979,https://youtu.be/c-HXz2YGtz8?si=2s2TCERZlX3kA-xZ
BAP,I'm going to miss you,2017,https://youtu.be/9CgYty2tI5g?si=702jiMlN4YyBcq8Q
BAP,Kumm op ming Sick,1980,https://youtu.be/XLm65epEBCk?si=65QP7FD-smKHX0zY
BAP,Verdamp lang her,1981,https://youtu.be/TB751ZCh_zU
BAP,Wie schön dat wöhr,2004,https://youtu.be/yzfkkSf96qQ?si=G91QF_L1HqqShUEJ
BeerBitches,Helau,2016,https://youtu.be/R2q-mSBxTbI?t=37
BeerBitches,Minge Mann,2018,https://youtu.be/lnO-KW-Xazg
BeerBitches,Schwing ming Foot,2018,https://youtu.be/nhLwoktKqoQ?t=4
Bernd Stelter,Mahatma,2005,https://www.youtube.com/watch?v=6cx4FkCNKhs
Bläck Fööss,Alles für die Liebe,2014,https://www.youtube.com/watch?v=omzWOajoJRw
Bläck Fööss,Am Bickendorfer Büdche,2006,https://youtu.be/oNV0rHTO4mI
Bläck Föös,En d´r Weetschaff op d´r Eck,2020,https://www.youtube.com/watch?v=XQqnumpy_HA
Bläck Fööss,"Bye,Bye My Love",1985,https://youtu.be/eA7kriKSQpY?si=s88nZsyijeQY59b5
Bläck Fööss,Die nächste Rund,2020,https://www.youtube.com/watch?v=JpZ7Zy_TU5w
Bläck Fööss,Du bes die Stadt,2002,https://www.youtube.com/watch?v=k7BRM-LzXE4&t=7s
Bläck Fööss,Drink doch eine met,1971,https://www.youtube.com/watch?v=CWIvUOkFong
